reel,filename,category,duration,hook,observation,caption,question,hashtags,cta,formatted_caption,viral_caption,viral_question,viral_hashtags,viral_cta,viral_formatted_caption,reflective_caption,reflective_question,reflective_hashtags,reflective_cta,reflective_formatted_caption,product_caption,product_question,product_hashtags,product_cta,product_formatted_caption
52,reels/nazar-reel-052.mp4,rain,8,umbrella sound,"Under the umbrella, the rain sounded closer than my own thoughts.","Under the umbrella, the rain sounded closer than my own thoughts.",What changed color when the weather changed?,#nazarapp #rainyday #softliving #mindfulmoments,Keep one small thing in Nazar.,"Under the umbrella, the rain sounded closer than my own thoughts.

What changed color when the weather changed?

#nazarapp #rainyday #softliving #mindfulmoments

Keep one small thing in Nazar.","Under the umbrella, the rain sounded closer than my own thoughts.",What tiny detail did you almost miss today?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Save this before the day gets loud.,"Under the umbrella, the rain sounded closer than my own thoughts.

What tiny detail did you almost miss today?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Save this before the day gets loud.","Under the umbrella, the rain sounded closer than my own thoughts. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Carry the detail with you.,"Under the umbrella, the rain sounded closer than my own thoughts. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Carry the detail with you.","Under the umbrella, the rain sounded closer than my own thoughts. Nazar gives these small observations a quiet place to live.",What tiny moment would you keep if there were a quiet place for it?,#nazarapp #rainyday #softliving #mindfulmoments,Download Nazar.,"Under the umbrella, the rain sounded closer than my own thoughts. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #rainyday #softliving #mindfulmoments

Download Nazar."
53,reels/nazar-reel-053.mp4,rain,9,window trail,One raindrop found another and they became a faster thing together.,One raindrop found another and they became a faster thing together.,What small sound did the rain make louder?,#nazarapp #rainyday #softliving #mindfulmoments,Notice with Nazar.,"One raindrop found another and they became a faster thing together.

What small sound did the rain make louder?

#nazarapp #rainyday #softliving #mindfulmoments

Notice with Nazar.",One raindrop found another and they became a faster thing together.,Why do moments like this stay with us?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Share this with someone who would understand.,"One raindrop found another and they became a faster thing together.

Why do moments like this stay with us?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Share this with someone who would understand.","One raindrop found another and they became a faster thing together. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Let the ordinary be enough.,"One raindrop found another and they became a faster thing together. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Let the ordinary be enough.",One raindrop found another and they became a faster thing together. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #rainyday #softliving #mindfulmoments,Start noticing with Nazar.,"One raindrop found another and they became a faster thing together. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #rainyday #softliving #mindfulmoments

Start noticing with Nazar."
54,reels/nazar-reel-054.mp4,rain,10,wet sleeves,"My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic.","My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic.",What did the rain make you notice differently?,#nazarapp #rainyday #softliving #mindfulmoments,Save it in Nazar.,"My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic.

What did the rain make you notice differently?

#nazarapp #rainyday #softliving #mindfulmoments

Save it in Nazar.","My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic.",Who would understand this kind of noticing?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Keep this for your next quiet moment.,"My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic.

Who would understand this kind of noticing?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Keep this for your next quiet moment.","My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Let one small thing stay with you.,"My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Let one small thing stay with you.","My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #rainyday #softliving #mindfulmoments,Keep it in Nazar.,"My sleeves were damp at the wrists, which made holding the warm cup feel more dramatic. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #rainyday #softliving #mindfulmoments

Keep it in Nazar."
55,reels/nazar-reel-055.mp4,rain,11,after rain,"After the rain stopped, every parked car kept a small trembling sky on its roof.","After the rain stopped, every parked car kept a small trembling sky on its roof.",What changed color when the weather changed?,#nazarapp #rainyday #softliving #mindfulmoments,Open Nazar when something small stays with you.,"After the rain stopped, every parked car kept a small trembling sky on its roof.

What changed color when the weather changed?

#nazarapp #rainyday #softliving #mindfulmoments

Open Nazar when something small stays with you.","After the rain stopped, every parked car kept a small trembling sky on its roof.",What is the smallest thing you saved today?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Send it to the friend who notices everything.,"After the rain stopped, every parked car kept a small trembling sky on its roof.

What is the smallest thing you saved today?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Send it to the friend who notices everything.","After the rain stopped, every parked car kept a small trembling sky on its roof. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Keep looking softly.,"After the rain stopped, every parked car kept a small trembling sky on its roof. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Keep looking softly.","After the rain stopped, every parked car kept a small trembling sky on its roof. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #rainyday #softliving #mindfulmoments,Open Nazar and save one thing.,"After the rain stopped, every parked car kept a small trembling sky on its roof. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #rainyday #softliving #mindfulmoments

Open Nazar and save one thing."
56,reels/nazar-reel-056.mp4,rain,12,storm light,The room went green for a second before the thunder arrived.,The room went green for a second before the thunder arrived.,What small sound did the rain make louder?,#nazarapp #rainyday #softliving #mindfulmoments,Try Nazar.,"The room went green for a second before the thunder arrived.

What small sound did the rain make louder?

#nazarapp #rainyday #softliving #mindfulmoments

Try Nazar.",The room went green for a second before the thunder arrived.,Would you have noticed this?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Send this to someone who notices small things.,"The room went green for a second before the thunder arrived.

Would you have noticed this?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Send this to someone who notices small things.","The room went green for a second before the thunder arrived. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Return to the smallest true thing.,"The room went green for a second before the thunder arrived. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Return to the smallest true thing.",The room went green for a second before the thunder arrived. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #rainyday #softliving #mindfulmoments,Try Nazar.,"The room went green for a second before the thunder arrived. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #rainyday #softliving #mindfulmoments

Try Nazar."
57,reels/nazar-reel-057.mp4,rain,8,bus window,A child traced the raindrops down the bus window like they were choosing a path.,A child traced the raindrops down the bus window like they were choosing a path.,What did the rain make you notice differently?,#nazarapp #rainyday #softliving #mindfulmoments,Keep one small thing in Nazar.,"A child traced the raindrops down the bus window like they were choosing a path.

What did the rain make you notice differently?

#nazarapp #rainyday #softliving #mindfulmoments

Keep one small thing in Nazar.",A child traced the raindrops down the bus window like they were choosing a path.,What tiny detail did you almost miss today?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Save this before the day gets loud.,"A child traced the raindrops down the bus window like they were choosing a path.

What tiny detail did you almost miss today?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Save this before the day gets loud.","A child traced the raindrops down the bus window like they were choosing a path. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Carry the detail with you.,"A child traced the raindrops down the bus window like they were choosing a path. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Carry the detail with you.",A child traced the raindrops down the bus window like they were choosing a path. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #rainyday #softliving #mindfulmoments,Download Nazar.,"A child traced the raindrops down the bus window like they were choosing a path. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #rainyday #softliving #mindfulmoments

Download Nazar."
58,reels/nazar-reel-058.mp4,rain,9,rain smell,The stairwell smelled like wet wool and someone's dinner coming home late.,The stairwell smelled like wet wool and someone's dinner coming home late.,What changed color when the weather changed?,#nazarapp #rainyday #softliving #mindfulmoments,Notice with Nazar.,"The stairwell smelled like wet wool and someone's dinner coming home late.

What changed color when the weather changed?

#nazarapp #rainyday #softliving #mindfulmoments

Notice with Nazar.",The stairwell smelled like wet wool and someone's dinner coming home late.,Why do moments like this stay with us?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Share this with someone who would understand.,"The stairwell smelled like wet wool and someone's dinner coming home late.

Why do moments like this stay with us?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Share this with someone who would understand.","The stairwell smelled like wet wool and someone's dinner coming home late. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Let the ordinary be enough.,"The stairwell smelled like wet wool and someone's dinner coming home late. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Let the ordinary be enough.",The stairwell smelled like wet wool and someone's dinner coming home late. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #rainyday #softliving #mindfulmoments,Start noticing with Nazar.,"The stairwell smelled like wet wool and someone's dinner coming home late. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #rainyday #softliving #mindfulmoments

Start noticing with Nazar."
59,reels/nazar-reel-059.mp4,rain,10,puddle city,The puddle held the building upside down better than the building held itself.,The puddle held the building upside down better than the building held itself.,What small sound did the rain make louder?,#nazarapp #rainyday #softliving #mindfulmoments,Save it in Nazar.,"The puddle held the building upside down better than the building held itself.

What small sound did the rain make louder?

#nazarapp #rainyday #softliving #mindfulmoments

Save it in Nazar.",The puddle held the building upside down better than the building held itself.,Who would understand this kind of noticing?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Keep this for your next quiet moment.,"The puddle held the building upside down better than the building held itself.

Who would understand this kind of noticing?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Keep this for your next quiet moment.","The puddle held the building upside down better than the building held itself. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Let one small thing stay with you.,"The puddle held the building upside down better than the building held itself. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Let one small thing stay with you.",The puddle held the building upside down better than the building held itself. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #rainyday #softliving #mindfulmoments,Keep it in Nazar.,"The puddle held the building upside down better than the building held itself. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #rainyday #softliving #mindfulmoments

Keep it in Nazar."
60,reels/nazar-reel-060.mp4,rain,11,drain song,"The drain outside sang a low, steady note after everyone else went inside.","The drain outside sang a low, steady note after everyone else went inside.",What did the rain make you notice differently?,#nazarapp #rainyday #softliving #mindfulmoments,Open Nazar when something small stays with you.,"The drain outside sang a low, steady note after everyone else went inside.

What did the rain make you notice differently?

#nazarapp #rainyday #softliving #mindfulmoments

Open Nazar when something small stays with you.","The drain outside sang a low, steady note after everyone else went inside.",What is the smallest thing you saved today?,#nazarapp #rainyday #softliving #mindfulmoments #sharethis,Send it to the friend who notices everything.,"The drain outside sang a low, steady note after everyone else went inside.

What is the smallest thing you saved today?

#nazarapp #rainyday #softliving #mindfulmoments #sharethis

Send it to the friend who notices everything.","The drain outside sang a low, steady note after everyone else went inside. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty,Keep looking softly.,"The drain outside sang a low, steady note after everyone else went inside. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #rainyday #softliving #mindfulmoments #quietbeauty

Keep looking softly.","The drain outside sang a low, steady note after everyone else went inside. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #rainyday #softliving #mindfulmoments,Open Nazar and save one thing.,"The drain outside sang a low, steady note after everyone else went inside. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #rainyday #softliving #mindfulmoments

Open Nazar and save one thing."
61,reels/nazar-reel-061.mp4,nature,7,bee pause,A bee stayed inside one flower so long it looked like it had found a room.,A bee stayed inside one flower so long it looked like it had found a room.,What did the living world do quietly near you today?,#nazarapp #naturemoments #slowdaily #presencepractice,Try Nazar.,"A bee stayed inside one flower so long it looked like it had found a room.

What did the living world do quietly near you today?

#nazarapp #naturemoments #slowdaily #presencepractice

Try Nazar.",A bee stayed inside one flower so long it looked like it had found a room.,Would you have noticed this?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Send this to someone who notices small things.,"A bee stayed inside one flower so long it looked like it had found a room.

Would you have noticed this?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Send this to someone who notices small things.","A bee stayed inside one flower so long it looked like it had found a room. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Return to the smallest true thing.,"A bee stayed inside one flower so long it looked like it had found a room. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Return to the smallest true thing.",A bee stayed inside one flower so long it looked like it had found a room. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #naturemoments #slowdaily #presencepractice,Try Nazar.,"A bee stayed inside one flower so long it looked like it had found a room. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #naturemoments #slowdaily #presencepractice

Try Nazar."
62,reels/nazar-reel-062.mp4,nature,8,leaf shadow,The leaf shadows kept changing shape on my arm while I tried to stay still.,The leaf shadows kept changing shape on my arm while I tried to stay still.,What small natural thing asked for your attention?,#nazarapp #naturemoments #slowdaily #presencepractice,Keep one small thing in Nazar.,"The leaf shadows kept changing shape on my arm while I tried to stay still.

What small natural thing asked for your attention?

#nazarapp #naturemoments #slowdaily #presencepractice

Keep one small thing in Nazar.",The leaf shadows kept changing shape on my arm while I tried to stay still.,What tiny detail did you almost miss today?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Save this before the day gets loud.,"The leaf shadows kept changing shape on my arm while I tried to stay still.

What tiny detail did you almost miss today?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Save this before the day gets loud.","The leaf shadows kept changing shape on my arm while I tried to stay still. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Carry the detail with you.,"The leaf shadows kept changing shape on my arm while I tried to stay still. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Carry the detail with you.",The leaf shadows kept changing shape on my arm while I tried to stay still. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #naturemoments #slowdaily #presencepractice,Download Nazar.,"The leaf shadows kept changing shape on my arm while I tried to stay still. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #naturemoments #slowdaily #presencepractice

Download Nazar."
63,reels/nazar-reel-063.mp4,nature,9,snail crossing,The snail crossed the path with the confidence of something that does not negotiate with time.,The snail crossed the path with the confidence of something that does not negotiate with time.,What did you see outside that felt unhurried?,#nazarapp #naturemoments #slowdaily #presencepractice,Notice with Nazar.,"The snail crossed the path with the confidence of something that does not negotiate with time.

What did you see outside that felt unhurried?

#nazarapp #naturemoments #slowdaily #presencepractice

Notice with Nazar.",The snail crossed the path with the confidence of something that does not negotiate with time.,Why do moments like this stay with us?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Share this with someone who would understand.,"The snail crossed the path with the confidence of something that does not negotiate with time.

Why do moments like this stay with us?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Share this with someone who would understand.","The snail crossed the path with the confidence of something that does not negotiate with time. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Let the ordinary be enough.,"The snail crossed the path with the confidence of something that does not negotiate with time. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Let the ordinary be enough.",The snail crossed the path with the confidence of something that does not negotiate with time. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #naturemoments #slowdaily #presencepractice,Start noticing with Nazar.,"The snail crossed the path with the confidence of something that does not negotiate with time. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #naturemoments #slowdaily #presencepractice

Start noticing with Nazar."
64,reels/nazar-reel-064.mp4,nature,10,morning bird,"One bird began before the others, then waited as if embarrassed by its own hope.","One bird began before the others, then waited as if embarrassed by its own hope.",What did the living world do quietly near you today?,#nazarapp #naturemoments #slowdaily #presencepractice,Save it in Nazar.,"One bird began before the others, then waited as if embarrassed by its own hope.

What did the living world do quietly near you today?

#nazarapp #naturemoments #slowdaily #presencepractice

Save it in Nazar.","One bird began before the others, then waited as if embarrassed by its own hope.",Who would understand this kind of noticing?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Keep this for your next quiet moment.,"One bird began before the others, then waited as if embarrassed by its own hope.

Who would understand this kind of noticing?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Keep this for your next quiet moment.","One bird began before the others, then waited as if embarrassed by its own hope. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Let one small thing stay with you.,"One bird began before the others, then waited as if embarrassed by its own hope. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Let one small thing stay with you.","One bird began before the others, then waited as if embarrassed by its own hope. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #naturemoments #slowdaily #presencepractice,Keep it in Nazar.,"One bird began before the others, then waited as if embarrassed by its own hope. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #naturemoments #slowdaily #presencepractice

Keep it in Nazar."
65,reels/nazar-reel-065.mp4,nature,11,moss wall,Moss had made a soft green country out of the north side of the wall.,Moss had made a soft green country out of the north side of the wall.,What small natural thing asked for your attention?,#nazarapp #naturemoments #slowdaily #presencepractice,Open Nazar when something small stays with you.,"Moss had made a soft green country out of the north side of the wall.

What small natural thing asked for your attention?

#nazarapp #naturemoments #slowdaily #presencepractice

Open Nazar when something small stays with you.",Moss had made a soft green country out of the north side of the wall.,What is the smallest thing you saved today?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Send it to the friend who notices everything.,"Moss had made a soft green country out of the north side of the wall.

What is the smallest thing you saved today?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Send it to the friend who notices everything.","Moss had made a soft green country out of the north side of the wall. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Keep looking softly.,"Moss had made a soft green country out of the north side of the wall. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Keep looking softly.",Moss had made a soft green country out of the north side of the wall. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #naturemoments #slowdaily #presencepractice,Open Nazar and save one thing.,"Moss had made a soft green country out of the north side of the wall. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #naturemoments #slowdaily #presencepractice

Open Nazar and save one thing."
66,reels/nazar-reel-066.mp4,nature,12,dogwood petals,The petals on the pavement looked less fallen than placed.,The petals on the pavement looked less fallen than placed.,What did you see outside that felt unhurried?,#nazarapp #naturemoments #slowdaily #presencepractice,Try Nazar.,"The petals on the pavement looked less fallen than placed.

What did you see outside that felt unhurried?

#nazarapp #naturemoments #slowdaily #presencepractice

Try Nazar.",The petals on the pavement looked less fallen than placed.,Would you have noticed this?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Send this to someone who notices small things.,"The petals on the pavement looked less fallen than placed.

Would you have noticed this?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Send this to someone who notices small things.","The petals on the pavement looked less fallen than placed. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Return to the smallest true thing.,"The petals on the pavement looked less fallen than placed. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Return to the smallest true thing.",The petals on the pavement looked less fallen than placed. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #naturemoments #slowdaily #presencepractice,Try Nazar.,"The petals on the pavement looked less fallen than placed. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #naturemoments #slowdaily #presencepractice

Try Nazar."
67,reels/nazar-reel-067.mp4,nature,8,wind in grass,"The wind moved through the grass in sections, like a hand smoothing a blanket.","The wind moved through the grass in sections, like a hand smoothing a blanket.",What did the living world do quietly near you today?,#nazarapp #naturemoments #slowdaily #presencepractice,Keep one small thing in Nazar.,"The wind moved through the grass in sections, like a hand smoothing a blanket.

What did the living world do quietly near you today?

#nazarapp #naturemoments #slowdaily #presencepractice

Keep one small thing in Nazar.","The wind moved through the grass in sections, like a hand smoothing a blanket.",What tiny detail did you almost miss today?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Save this before the day gets loud.,"The wind moved through the grass in sections, like a hand smoothing a blanket.

What tiny detail did you almost miss today?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Save this before the day gets loud.","The wind moved through the grass in sections, like a hand smoothing a blanket. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Carry the detail with you.,"The wind moved through the grass in sections, like a hand smoothing a blanket. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Carry the detail with you.","The wind moved through the grass in sections, like a hand smoothing a blanket. Nazar gives these small observations a quiet place to live.",What tiny moment would you keep if there were a quiet place for it?,#nazarapp #naturemoments #slowdaily #presencepractice,Download Nazar.,"The wind moved through the grass in sections, like a hand smoothing a blanket. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #naturemoments #slowdaily #presencepractice

Download Nazar."
68,reels/nazar-reel-068.mp4,nature,9,garden hose,"Water gathered at the hose mouth before falling, one clear bead at a time.","Water gathered at the hose mouth before falling, one clear bead at a time.",What small natural thing asked for your attention?,#nazarapp #naturemoments #slowdaily #presencepractice,Notice with Nazar.,"Water gathered at the hose mouth before falling, one clear bead at a time.

What small natural thing asked for your attention?

#nazarapp #naturemoments #slowdaily #presencepractice

Notice with Nazar.","Water gathered at the hose mouth before falling, one clear bead at a time.",Why do moments like this stay with us?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Share this with someone who would understand.,"Water gathered at the hose mouth before falling, one clear bead at a time.

Why do moments like this stay with us?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Share this with someone who would understand.","Water gathered at the hose mouth before falling, one clear bead at a time. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Let the ordinary be enough.,"Water gathered at the hose mouth before falling, one clear bead at a time. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Let the ordinary be enough.","Water gathered at the hose mouth before falling, one clear bead at a time. Nazar gives these small observations a quiet place to live.",What would you save in Nazar today?,#nazarapp #naturemoments #slowdaily #presencepractice,Start noticing with Nazar.,"Water gathered at the hose mouth before falling, one clear bead at a time. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #naturemoments #slowdaily #presencepractice

Start noticing with Nazar."
69,reels/nazar-reel-069.mp4,nature,10,spider web,The web held three drops of rain in a perfect uneven triangle.,The web held three drops of rain in a perfect uneven triangle.,What did you see outside that felt unhurried?,#nazarapp #naturemoments #slowdaily #presencepractice,Save it in Nazar.,"The web held three drops of rain in a perfect uneven triangle.

What did you see outside that felt unhurried?

#nazarapp #naturemoments #slowdaily #presencepractice

Save it in Nazar.",The web held three drops of rain in a perfect uneven triangle.,Who would understand this kind of noticing?,#nazarapp #naturemoments #slowdaily #presencepractice #sharethis,Keep this for your next quiet moment.,"The web held three drops of rain in a perfect uneven triangle.

Who would understand this kind of noticing?

#nazarapp #naturemoments #slowdaily #presencepractice #sharethis

Keep this for your next quiet moment.","The web held three drops of rain in a perfect uneven triangle. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty,Let one small thing stay with you.,"The web held three drops of rain in a perfect uneven triangle. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #naturemoments #slowdaily #presencepractice #quietbeauty

Let one small thing stay with you.",The web held three drops of rain in a perfect uneven triangle. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #naturemoments #slowdaily #presencepractice,Keep it in Nazar.,"The web held three drops of rain in a perfect uneven triangle. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #naturemoments #slowdaily #presencepractice

Keep it in Nazar."
